categorias_personas,latitud,longitud,Personas por manzana
305 a 758 Personas,4.62845042627e+000,'-7.41764334940e+001,1442
305 a 758 Personas,4.63261430610e+000,'-7.41813045486e+001,1420
759 a 1859 Personas,4.60728542927e+000,'-7.41479160309e+001,1414
305 a 758 Personas,4.59096839604e+000,'-7.40853044913e+001,1407
305 a 758 Personas,4.61464583105e+000,'-7.41489063889e+001,1404
305 a 758 Personas,4.62124311866e+000,'-7.40689174262e+001,1400
759 a 1859 Personas,4.62180649649e+000,'-7.40830561856e+001,1369
305 a 758 Personas,4.63605657675e+000,'-7.41797453934e+001,1362
305 a 758 Personas,4.62230645918e+000,'-7.41620393443e+001,1340
305 a 758 Personas,4.63354529399e+000,'-7.41724084031e+001,1332
305 a 758 Personas,4.59900073576e+000,'-7.40924336956e+001,1324
305 a 758 Personas,4.64134282539e+000,'-7.40643192824e+001,1320
305 a 758 Personas,4.63378656210e+000,'-7.41725422736e+001,1317
305 a 758 Personas,4.59348072017e+000,'-7.40836494816e+001,1314
305 a 758 Personas,4.61901432795e+000,'-7.41695264077e+001,1308
305 a 758 Personas,4.63402603190e+000,'-7.41726638518e+001,1308
305 a 758 Personas,4.59452110043e+000,'-7.40904250004e+001,1302
305 a 758 Personas,4.61126982699e+000,'-7.41639018237e+001,1293
305 a 758 Personas,4.61784844339e+000,'-7.41624866458e+001,1290
305 a 758 Personas,4.59320462243e+000,'-7.41013346151e+001,1280
305 a 758 Personas,4.60850950055e+000,'-7.41210448044e+001,1274
759 a 1859 Personas,4.63887953800e+000,'-7.41845383327e+001,1273
759 a 1859 Personas,4.63836561967e+000,'-7.41852768744e+001,1265
305 a 758 Personas,4.59256235280e+000,'-7.40767473305e+001,1264
305 a 758 Personas,4.62740343460e+000,'-7.41467560293e+001,1256
759 a 1859 Personas,4.64804104117e+000,'-7.40580424333e+001,1256
305 a 758 Personas,4.61146493571e+000,'-7.41511717741e+001,1248
305 a 758 Personas,4.60446941835e+000,'-7.40693153040e+001,1248
305 a 758 Personas,4.59869233670e+000,'-7.40916474330e+001,1236
305 a 758 Personas,4.61326113217e+000,'-7.41645910992e+001,1230
305 a 758 Personas,4.62062250104e+000,'-7.41631887074e+001,1228
305 a 758 Personas,4.62389874361e+000,'-7.41780285428e+001,1226
759 a 1859 Personas,4.64708858120e+000,'-7.41685349662e+001,1215
305 a 758 Personas,4.62171881287e+000,'-7.41621663874e+001,1212
305 a 758 Personas,4.62245640014e+000,'-7.41650708902e+001,1200
305 a 758 Personas,4.61449476802e+000,'-7.41319069702e+001,1198
305 a 758 Personas,4.61734941680e+000,'-7.41607876544e+001,1185
305 a 758 Personas,4.61435016041e+000,'-7.41301317299e+001,1184
305 a 758 Personas,4.61044033462e+000,'-7.41628009406e+001,1182
305 a 758 Personas,4.60428461729e+000,'-7.41212798061e+001,1179
305 a 758 Personas,4.59278852861e+000,'-7.40804122723e+001,1178
305 a 758 Personas,4.62611275595e+000,'-7.41479423113e+001,1160
305 a 758 Personas,4.62510070646e+000,'-7.41636868296e+001,1158
759 a 1859 Personas,4.64037573398e+000,'-7.41862859854e+001,1154
305 a 758 Personas,4.61085459661e+000,'-7.41628342839e+001,1152
305 a 758 Personas,4.60250462566e+000,'-7.41188306696e+001,1143
305 a 758 Personas,4.61542728097e+000,'-7.41301767716e+001,1140
305 a 758 Personas,4.60781019787e+000,'-7.41224771697e+001,1136
305 a 758 Personas,4.60736320406e+000,'-7.41205105190e+001,1118
305 a 758 Personas,4.61904034830e+000,'-7.40689555158e+001,1118
305 a 758 Personas,4.62524303510e+000,'-7.41597640514e+001,1116
305 a 758 Personas,4.63525220109e+000,'-7.41795223538e+001,1110
305 a 758 Personas,4.62609665432e+000,'-7.41589865614e+001,1110
305 a 758 Personas,4.60282814357e+000,'-7.41200508198e+001,1110
128 a 304 Personas,4.62380614010e+000,'-7.41610914889e+001,1104
305 a 758 Personas,4.60987477304e+000,'-7.41653283369e+001,1094
305 a 758 Personas,4.59461485502e+000,'-7.40833256146e+001,1090
305 a 758 Personas,4.62669614644e+000,'-7.41630665894e+001,1083
305 a 758 Personas,4.62602600664e+000,'-7.41623089737e+001,1080
759 a 1859 Personas,4.64530787233e+000,'-7.40551926291e+001,1079
305 a 758 Personas,4.61163654310e+000,'-7.41630970188e+001,1074
305 a 758 Personas,4.64659400942e+000,'-7.40624260352e+001,1068
305 a 758 Personas,4.60034461660e+000,'-7.40941592976e+001,1066
305 a 758 Personas,4.63239621636e+000,'-7.41783108860e+001,1064
305 a 758 Personas,4.60464189032e+000,'-7.41191715859e+001,1062
305 a 758 Personas,4.61926573050e+000,'-7.40703147146e+001,1052
759 a 1859 Personas,4.62035067976e+000,'-7.40836752154e+001,1051
305 a 758 Personas,4.62397606970e+000,'-7.41669197239e+001,1038
305 a 758 Personas,4.63462603863e+000,'-7.41779322172e+001,1034
305 a 758 Personas,4.61573508450e+000,'-7.41510905057e+001,1029
305 a 758 Personas,4.61345834106e+000,'-7.41281291429e+001,1024
305 a 758 Personas,4.59946984933e+000,'-7.41064098997e+001,1024
305 a 758 Personas,4.61890300828e+000,'-7.41710874927e+001,1023
305 a 758 Personas,4.62219722363e+000,'-7.41649469615e+001,1008
305 a 758 Personas,4.61957037253e+000,'-7.41515530860e+001,1008
305 a 758 Personas,4.61210495176e+000,'-7.41206285420e+001,1004
759 a 1859 Personas,4.63653264132e+000,'-7.41844803638e+001,996
305 a 758 Personas,4.62537014331e+000,'-7.41471400112e+001,992
305 a 758 Personas,4.59206037720e+000,'-7.40807251878e+001,990
305 a 758 Personas,4.61009730970e+000,'-7.41501908310e+001,990
305 a 758 Personas,4.61653496602e+000,'-7.41393454588e+001,987
305 a 758 Personas,4.59648893261e+000,'-7.40857609255e+001,981
305 a 758 Personas,4.63466303701e+000,'-7.41823111039e+001,980
305 a 758 Personas,4.61697970137e+000,'-7.41582181592e+001,975
305 a 758 Personas,4.62061681791e+000,'-7.41708158001e+001,975
305 a 758 Personas,4.60480907341e+000,'-7.41257345297e+001,974
305 a 758 Personas,4.62004698034e+000,'-7.41429999518e+001,972
305 a 758 Personas,4.61935614595e+000,'-7.41690681510e+001,969
305 a 758 Personas,4.60328376109e+000,'-7.41281088656e+001,968
759 a 1859 Personas,4.64339609316e+000,'-7.40547416233e+001,967
305 a 758 Personas,4.62342090509e+000,'-7.41608637368e+001,963
305 a 758 Personas,4.60593494451e+000,'-7.40805524273e+001,963
759 a 1859 Personas,4.63696607919e+000,'-7.40607090348e+001,960
305 a 758 Personas,4.61381161510e+000,'-7.41635152735e+001,960
759 a 1859 Personas,4.63953728121e+000,'-7.41858648272e+001,958
305 a 758 Personas,4.62413373900e+000,'-7.41572057571e+001,957
305 a 758 Personas,4.62622968810e+000,'-7.41652380817e+001,957
305 a 758 Personas,4.61198566858e+000,'-7.41520885573e+001,954
305 a 758 Personas,4.59073009214e+000,'-7.40816599973e+001,952
128 a 304 Personas,4.62000193404e+000,'-7.41633621122e+001,948
305 a 758 Personas,4.62022583777e+000,'-7.41697396626e+001,948
305 a 758 Personas,4.61091293424e+000,'-7.41674961901e+001,946
305 a 758 Personas,4.62415193594e+000,'-7.41695274989e+001,945
305 a 758 Personas,4.61970537178e+000,'-7.41711318357e+001,945
305 a 758 Personas,4.61341596203e+000,'-7.41209635903e+001,942
305 a 758 Personas,4.62684495503e+000,'-7.41671141865e+001,942
305 a 758 Personas,4.59221942022e+000,'-7.40794028052e+001,938
305 a 758 Personas,4.62250982927e+000,'-7.41692998598e+001,930
305 a 758 Personas,4.61051453347e+000,'-7.41319350263e+001,930
305 a 758 Personas,4.62581607509e+000,'-7.41648854075e+001,924
305 a 758 Personas,4.62172135135e+000,'-7.41586814251e+001,924
305 a 758 Personas,4.61278882467e+000,'-7.41305098607e+001,921
305 a 758 Personas,4.59661156066e+000,'-7.41106188941e+001,918
305 a 758 Personas,4.60990713639e+000,'-7.40730811007e+001,912
305 a 758 Personas,4.62622485143e+000,'-7.41625395702e+001,912
305 a 758 Personas,4.63620122839e+000,'-7.41814439160e+001,912
305 a 758 Personas,4.62383305819e+000,'-7.41702122581e+001,906
305 a 758 Personas,4.60056876063e+000,'-7.41210602888e+001,903
759 a 1859 Personas,4.64161942376e+000,'-7.41838257677e+001,902
305 a 758 Personas,4.60804863595e+000,'-7.40716240271e+001,900
305 a 758 Personas,4.62119916689e+000,'-7.41572583077e+001,900
305 a 758 Personas,4.61938986876e+000,'-7.41616261218e+001,900
305 a 758 Personas,4.63508675949e+000,'-7.40678306220e+001,900
305 a 758 Personas,4.61569860128e+000,'-7.41656295445e+001,900
305 a 758 Personas,4.61301662110e+000,'-7.41526407364e+001,897
305 a 758 Personas,4.59679167028e+000,'-7.40902974878e+001,897
305 a 758 Personas,4.61193828076e+000,'-7.40824024167e+001,892
305 a 758 Personas,4.59370789569e+000,'-7.40840149490e+001,891
305 a 758 Personas,4.60026319948e+000,'-7.41214332931e+001,891
305 a 758 Personas,4.61111314401e+000,'-7.41327521780e+001,888
759 a 1859 Personas,4.63082993068e+000,'-7.41833708490e+001,888
305 a 758 Personas,4.59375474847e+000,'-7.40760669905e+001,886
305 a 758 Personas,4.62212360066e+000,'-7.41570263977e+001,885
305 a 758 Personas,4.61816747939e+000,'-7.41690257910e+001,885
305 a 758 Personas,4.63425911447e+000,'-7.41791883587e+001,884
305 a 758 Personas,4.60536182671e+000,'-7.40778976729e+001,882
305 a 758 Personas,4.61992974764e+000,'-7.40689195244e+001,882
305 a 758 Personas,4.60261687961e+000,'-7.40700918719e+001,882
305 a 758 Personas,4.61604729095e+000,'-7.41606887219e+001,879
305 a 758 Personas,4.61163280076e+000,'-7.41649292769e+001,874
305 a 758 Personas,4.61606560606e+000,'-7.41472062277e+001,873
305 a 758 Personas,4.63292443766e+000,'-7.41717898704e+001,873
305 a 758 Personas,4.61750576216e+000,'-7.41699283223e+001,873
128 a 304 Personas,4.62274386318e+000,'-7.41558582487e+001,870
305 a 758 Personas,4.61367773769e+000,'-7.41307905551e+001,868
128 a 304 Personas,4.60938252123e+000,'-7.41622696302e+001,867
128 a 304 Personas,4.61850836663e+000,'-7.41721005482e+001,864
759 a 1859 Personas,4.63997846409e+000,'-7.41850886907e+001,860
759 a 1859 Personas,4.64164206042e+000,'-7.41859227261e+001,860
759 a 1859 Personas,4.64081491950e+000,'-7.41834353012e+001,859
305 a 758 Personas,4.63057253168e+000,'-7.41774829098e+001,858
128 a 304 Personas,4.63464567258e+000,'-7.41717656112e+001,858
128 a 304 Personas,4.61934105961e+000,'-7.41702281510e+001,852
128 a 304 Personas,4.61584939997e+000,'-7.41495773037e+001,852
128 a 304 Personas,4.62685503474e+000,'-7.41657410300e+001,849
128 a 304 Personas,4.59473943085e+000,'-7.40858231564e+001,849
128 a 304 Personas,4.62422712304e+000,'-7.41650225226e+001,849
128 a 304 Personas,4.62527022946e+000,'-7.41657427031e+001,846
128 a 304 Personas,4.62273936516e+000,'-7.41677512302e+001,846
128 a 304 Personas,4.62139371501e+000,'-7.41708974464e+001,843
128 a 304 Personas,4.61861271706e+000,'-7.41702378926e+001,843
128 a 304 Personas,4.59350726148e+000,'-7.40858684025e+001,840
305 a 758 Personas,4.63803650582e+000,'-7.40673204781e+001,838
128 a 304 Personas,4.61554797804e+000,'-7.41391671341e+001,837
128 a 304 Personas,4.59837401493e+000,'-7.41221268606e+001,837
128 a 304 Personas,4.62481660057e+000,'-7.41677686686e+001,834
305 a 758 Personas,4.59118735077e+000,'-7.40996207085e+001,832
128 a 304 Personas,4.61895434488e+000,'-7.41655067035e+001,831
128 a 304 Personas,4.62505952190e+000,'-7.41655678449e+001,831
759 a 1859 Personas,4.63746657334e+000,'-7.41848266994e+001,831
128 a 304 Personas,4.62704876931e+000,'-7.41636536173e+001,831
305 a 758 Personas,4.62665886892e+000,'-7.41498438316e+001,830
128 a 304 Personas,4.62491009062e+000,'-7.41639041474e+001,828
305 a 758 Personas,4.61189435877e+000,'-7.41666276409e+001,828
305 a 758 Personas,4.60413260582e+000,'-7.41263818357e+001,828
759 a 1859 Personas,4.58578776148e+000,'-7.40803127418e+001,827
128 a 304 Personas,4.62448654365e+000,'-7.41643276339e+001,825
128 a 304 Personas,4.61813419648e+000,'-7.41513884066e+001,819
305 a 758 Personas,4.63331781301e+000,'-7.41787238410e+001,816
128 a 304 Personas,4.62295333236e+000,'-7.41566242972e+001,816
128 a 304 Personas,4.61941443787e+000,'-7.41499236175e+001,813
128 a 304 Personas,4.62472413938e+000,'-7.41641281341e+001,813
759 a 1859 Personas,4.64041308254e+000,'-7.41842275379e+001,811
128 a 304 Personas,4.60367834384e+000,'-7.41218767363e+001,810
128 a 304 Personas,4.62528855144e+000,'-7.41634694363e+001,807
128 a 304 Personas,4.61009288681e+000,'-7.41626430906e+001,807
128 a 304 Personas,4.61765461220e+000,'-7.41686578362e+001,807
128 a 304 Personas,4.59936639770e+000,'-7.41223809750e+001,807
128 a 304 Personas,4.60583509255e+000,'-7.40798742816e+001,804
128 a 304 Personas,4.59270701867e+000,'-7.40846325188e+001,804
128 a 304 Personas,4.61948014973e+000,'-7.41479225307e+001,804
759 a 1859 Personas,4.64592605670e+000,'-7.40591716042e+001,801
305 a 758 Personas,4.60612292152e+000,'-7.41200102662e+001,796
305 a 758 Personas,4.63896817163e+000,'-7.40634689546e+001,796
305 a 758 Personas,4.60989493555e+000,'-7.40751204496e+001,796
305 a 758 Personas,4.60925534176e+000,'-7.41328771206e+001,794
128 a 304 Personas,4.62397423617e+000,'-7.41648774750e+001,792
305 a 758 Personas,4.62971819090e+000,'-7.41667310136e+001,792
305 a 758 Personas,4.61277687634e+000,'-7.41470760504e+001,790
305 a 758 Personas,4.62950675591e+000,'-7.41665176435e+001,790
128 a 304 Personas,4.62446491270e+000,'-7.41651755863e+001,786
305 a 758 Personas,4.59252428240e+000,'-7.41212510859e+001,786
128 a 304 Personas,4.59802206345e+000,'-7.41218177635e+001,786
305 a 758 Personas,4.60953448247e+000,'-7.41633668885e+001,780
128 a 304 Personas,4.62328058296e+000,'-7.41680082970e+001,780
128 a 304 Personas,4.61635151501e+000,'-7.41645536965e+001,777
128 a 304 Personas,4.62664305232e+000,'-7.41655739942e+001,774
305 a 758 Personas,4.63722893957e+000,'-7.40684410402e+001,774
128 a 304 Personas,4.62478066970e+000,'-7.41595842009e+001,774
305 a 758 Personas,4.60109745314e+000,'-7.41266201434e+001,774
128 a 304 Personas,4.61706089128e+000,'-7.41597777800e+001,774
305 a 758 Personas,4.61421523788e+000,'-7.41324319063e+001,772
305 a 758 Personas,4.60700521288e+000,'-7.41391653898e+001,772
128 a 304 Personas,4.59086870996e+000,'-7.40865742007e+001,771
305 a 758 Personas,4.61068127813e+000,'-7.40724677002e+001,768
128 a 304 Personas,4.61203710664e+000,'-7.41637758746e+001,768
128 a 304 Personas,4.61977293820e+000,'-7.41659687717e+001,765
128 a 304 Personas,4.62643748789e+000,'-7.41654009445e+001,765
305 a 758 Personas,4.60447010042e+000,'-7.41260546460e+001,764
305 a 758 Personas,4.62231745530e+000,'-7.41458444430e+001,762
128 a 304 Personas,4.61467120296e+000,'-7.41503343240e+001,762
759 a 1859 Personas,4.62060556860e+000,'-7.41334368925e+001,762
128 a 304 Personas,4.62195371643e+000,'-7.41527352462e+001,762
128 a 304 Personas,4.61204301434e+000,'-7.41299597628e+001,762
128 a 304 Personas,4.61779772559e+000,'-7.41695326167e+001,759
128 a 304 Personas,4.62228946517e+000,'-7.41600790298e+001,759
759 a 1859 Personas,4.61912903372e+000,'-7.41253164847e+001,759
128 a 304 Personas,4.61415835222e+000,'-7.41630256849e+001,759
128 a 304 Personas,4.63239205214e+000,'-7.41714745386e+001,759
128 a 304 Personas,4.61569936720e+000,'-7.41476196933e+001,756
305 a 758 Personas,4.61401183451e+000,'-7.41335318788e+001,756
128 a 304 Personas,4.59438058742e+000,'-7.40849461374e+001,756
128 a 304 Personas,4.62555687164e+000,'-7.41629675436e+001,756
128 a 304 Personas,4.63191430871e+000,'-7.41712124821e+001,756
128 a 304 Personas,4.62013557557e+000,'-7.41687401518e+001,756
305 a 758 Personas,4.61427388551e+000,'-7.41549183097e+001,754
305 a 758 Personas,4.60305638723e+000,'-7.41253380435e+001,754
128 a 304 Personas,4.62546823341e+000,'-7.41632570223e+001,753
128 a 304 Personas,4.61376302312e+000,'-7.41530119503e+001,753
305 a 758 Personas,4.61088736842e+000,'-7.41568068330e+001,752
305 a 758 Personas,4.60541123841e+000,'-7.41205686469e+001,752
305 a 758 Personas,4.62871898599e+000,'-7.41668624807e+001,750
128 a 304 Personas,4.62201903731e+000,'-7.41591434830e+001,750
305 a 758 Personas,4.63143669868e+000,'-7.41778693449e+001,750
759 a 1859 Personas,4.62126665694e+000,'-7.41814320705e+001,748
305 a 758 Personas,4.60274035734e+000,'-7.41074530990e+001,746
128 a 304 Personas,4.63369646396e+000,'-7.41692324153e+001,744
305 a 758 Personas,4.60842854431e+000,'-7.41465778142e+001,744
305 a 758 Personas,4.65046857332e+000,'-7.40600665728e+001,740
305 a 758 Personas,4.59904625356e+000,'-7.40964363284e+001,740
128 a 304 Personas,4.62493370579e+000,'-7.41697190763e+001,738
128 a 304 Personas,4.61362820754e+000,'-7.41586373483e+001,738
128 a 304 Personas,4.63315753822e+000,'-7.41719287132e+001,738
305 a 758 Personas,4.60297116755e+000,'-7.41284334384e+001,736
128 a 304 Personas,4.62125402963e+000,'-7.41698950134e+001,735
128 a 304 Personas,4.62082441708e+000,'-7.41486217174e+001,732
305 a 758 Personas,4.63306306522e+000,'-7.41815381605e+001,732
128 a 304 Personas,4.62502691933e+000,'-7.41680265068e+001,732
128 a 304 Personas,4.62175611482e+000,'-7.41671552563e+001,732
128 a 304 Personas,4.62470324526e+000,'-7.41653197042e+001,732
305 a 758 Personas,4.62824671470e+000,'-7.41666983607e+001,730
305 a 758 Personas,4.61818590448e+000,'-7.41724766245e+001,730
128 a 304 Personas,4.61261328103e+000,'-7.41605808212e+001,729
128 a 304 Personas,4.62083583885e+000,'-7.41680858377e+001,729
305 a 758 Personas,4.60372334307e+000,'-7.41320660430e+001,726
128 a 304 Personas,4.62551737513e+000,'-7.41659368544e+001,726
128 a 304 Personas,4.62560519364e+000,'-7.41647152318e+001,726
128 a 304 Personas,4.61006452189e+000,'-7.41323702389e+001,726
305 a 758 Personas,4.62639019407e+000,'-7.40669391210e+001,725
128 a 304 Personas,4.59297278661e+000,'-7.40850344525e+001,723
128 a 304 Personas,4.62318010717e+000,'-7.41665584761e+001,723
305 a 758 Personas,4.60699318582e+000,'-7.41326118181e+001,723
128 a 304 Personas,4.62054017243e+000,'-7.41616003179e+001,720
128 a 304 Personas,4.62592974019e+000,'-7.41638685732e+001,720
128 a 304 Personas,4.61734680167e+000,'-7.41558296385e+001,720
128 a 304 Personas,4.59680700264e+000,'-7.40884476061e+001,720
305 a 758 Personas,4.60854926279e+000,'-7.40670024836e+001,717
305 a 758 Personas,4.63192607012e+000,'-7.40636262791e+001,717
128 a 304 Personas,4.63292375123e+000,'-7.41688076054e+001,714
128 a 304 Personas,4.62693690427e+000,'-7.41618050789e+001,714
305 a 758 Personas,4.60141992427e+000,'-7.41263036526e+001,712
305 a 758 Personas,4.63263484458e+000,'-7.41636707748e+001,712
305 a 758 Personas,4.64267332251e+000,'-7.40625028439e+001,712
128 a 304 Personas,4.61951707543e+000,'-7.41562208692e+001,711
305 a 758 Personas,4.63565538811e+000,'-7.40652914885e+001,710
305 a 758 Personas,4.63570214273e+000,'-7.41814688115e+001,710
305 a 758 Personas,4.61168868035e+000,'-7.41678532940e+001,708
128 a 304 Personas,4.61573044318e+000,'-7.41638417258e+001,708
128 a 304 Personas,4.59656551332e+000,'-7.40915684575e+001,708
305 a 758 Personas,4.59210118675e+000,'-7.41222873260e+001,708
128 a 304 Personas,4.62613091488e+000,'-7.41640543220e+001,705
128 a 304 Personas,4.62036178891e+000,'-7.41499277098e+001,705
305 a 758 Personas,4.65189387808e+000,'-7.40625077410e+001,704
305 a 758 Personas,4.63765328651e+000,'-7.41687243333e+001,702
305 a 758 Personas,4.63595049694e+000,'-7.41675835611e+001,702
128 a 304 Personas,4.62440579317e+000,'-7.41602145292e+001,702
128 a 304 Personas,4.61983006063e+000,'-7.41708651988e+001,702
128 a 304 Personas,4.62282539936e+000,'-7.41602197230e+001,699
128 a 304 Personas,4.59768509264e+000,'-7.41215094030e+001,699
128 a 304 Personas,4.61864145026e+000,'-7.41709190388e+001,696
128 a 304 Personas,4.63216079022e+000,'-7.41683668980e+001,696
128 a 304 Personas,4.61220387148e+000,'-7.41635681978e+001,696
305 a 758 Personas,4.58364894638e+000,'-7.40851302822e+001,694
305 a 758 Personas,4.61507487203e+000,'-7.41464074995e+001,694
128 a 304 Personas,4.62224273993e+000,'-7.41674956095e+001,693
128 a 304 Personas,4.62110239503e+000,'-7.41501446605e+001,693
305 a 758 Personas,4.60986700801e+000,'-7.41645432703e+001,692
305 a 758 Personas,4.60849411654e+000,'-7.41427784449e+001,692
305 a 758 Personas,4.60343890399e+000,'-7.41317301418e+001,692
305 a 758 Personas,4.62377462958e+000,'-7.41454202583e+001,690
305 a 758 Personas,4.60379359103e+000,'-7.41267070700e+001,690
305 a 758 Personas,4.60337631201e+000,'-7.41249965136e+001,688
305 a 758 Personas,4.60995988670e+000,'-7.41347610975e+001,688
128 a 304 Personas,4.59782083474e+000,'-7.40895367608e+001,687
